codigo_estacion,1000005,1201005,1001005,1202009,1202012,1202010,1020017,1010010,1300004,1211006,1310018,1310021,1021002,1021007,1310022,1310019,1310020,1030003,1410011,1410012,1502006,1610004,1041003,1730018,1050007,1740002,1700010,1051003,1700008,1080001,2000001,2020001,2101003,2112008,2020002,2103008,2103009,2104008,2104009,2103010,2210002,2105016,2105015,2105017,2105018,2105020,2105021,2104010,2105022,2112009,2110013,2700001,2510006,2500016,2710002,2240000,2500019,2710003,2500020,2660001,2942001,2943002,3210001,3450004,3430007,3430006,3414001,3414002,3826003,3823004,3800000,3820004,3820002,3806002,3815004,3802001,3802005,3804005,3814003,4120001,4335002,4308001,4302001,4302014,4308003,4314002,4323007,4321001,4400002,4311005,4301005,4502005,4502004,4503001,4506007,4551004,4557001,4540006,4523004,4523002,4537003,4513004,4511004,4535001,4511003,4531002,4530001,4721001,4722001,4723001,4726003,4710001,4810003,4700002,4902002,5200006,5414001,5404001,5401007,5410002,5410006,5401003,5426004,5403002,5500003,5733008,5510001,5510005,5427006,5510002,5706003,5721017,5721016,5722001,5721001,5722002,5730012,5744002,5730016,5706001,5705001,5737002,5730015,5730039,5703011,5710001,5703009,5711003,5703008,5740005,5702011,5702001,5701008,5701005,6011001,6003001,6000003,6000004,6015003,6013005,6013001,6013008,6028001,7120002,6034003,6020001,7118003,7116005,7384002,7381003,7381002,7378004,7378002,7379002,7378003,7320003,7320002,7321002,7306001,7303000,7358007,7317001,7317005,7355007,7301000,7301001,7345001,7331002,7314002,8113001,8105004,8105003,8130006,8372002,8372001,8318002,8316002,8317006,8358002,8317004,8358003,8313002,8351003,8822008,8312002,8308000,8307002,8304004,9120002,9120003,9129005,9400000,9135003,9423001,9420002,10123004,10100002,10360002,10344003,10355003,10512000,10425001,10523001,10610001,10683002,11023002,11043001,11041001,11120001,11180000,11342002,11316004,11316003,11505001,11521005,11521002,11440000,11532000,11536004,11540000,11536001,11541000,11546001,11711000,11702000,12000000,11704001,11706000,12280004,12283001,12284006,12288000,12286001,12284010,12293001,12680001,12620000,12403000,12622002,12452001,12802001,12449002,12806005,12806004,12586004,12586009,12586010,12586006,12809001,12815001,12863001,12582003,12873001,12821000,12876003,12879000,12878002,12930004,12930001,12930005,950002,950003,180005,200006,230001,270008,290004,330007,330020,340031,360011,360019,380013,390006,400009,410005,450001,450004,450005,460001,470001,520006,550001,950001,220002,270001,330021,330019,330031,330030,370033,420004,430002,430004,510005,530005
institucion,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DGA,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC,DMC
fuente,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dga_web,dmc_anuarios,dmc_anuarios,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_merge,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web,dmc_web
nombre,Visviri,Rio Caracarani En Humapalca,Caquena,Pacollo,Putre (Dcp),Putre,Parinacota Ex Endesa,Chungara Ajata,Murmuntane,Lluta,Arica Oficina,U. Del Norte,Rio Guallatire En Guallatire,Guallatire,El Buitre Aerodromo,Azapa,La Rivera,Chilcaya,Chaca,Codpa,Cuya,Q. Camia 3 Km. A. Arriba De Tarcavire,Colchane (T. Isluga),Lagunillas (Pampa Lirima),Coyacagua,Cerro Colorado,Huara En Fuerte Baquedano,Salar Huasco,Esmeralda,Ujina,Ollague,Cebollar,Lequena,Quillagua,Ascotan,Parshall N 2,Ojos San Pedro,Conchi Embalse,Conchi Muro Embalse,Inacaliri,Tocopilla,Linzor,Turi,Toconce,Ayquina,Salado Embalse,Caspana,Chiu-Chiu,El Tatio,Coya Sur,Calama,Sierra Gorda,San Pedro De Atacama,Toconao Experimental,Baquedano,Liceo CientÍFico Humanista La Chimba,Socaire,Antofagasta,Peine,Monturaqui,Aguas Verdes,Tal-Tal (Dcp),Las Vegas,Copiapo,Los Loros,Lautaro Embalse,Rio Pulido En Vertedero,Iglesia Colorada,Huasco Bajo,La Compaia (Vallenar),Portezuelo El Gaucho,Santa Juana,Rio Huasco En Chepica,El Transito,San Felix,Rio Conay En Las Lozas,Conay,El Parral,Rio Carmen En El Corral,El Trapiche,La Serena (Escuela Agricola),Rio Turbio En Varillar,Rio Toro Antes Junta Rio La Laguna,Juntas,Rivadavia,Rio Claro En Rivadavia,Almendral,Puclaro Embalse,Pan De Azucar,La Ortiga,La Laguna Embalse,Hurtado,La Cortadera,Rio Hurtado En Angostura De Pangue,Recoleta Embalse,Ovalle (Escuela Agricola),Salala,Paloma Embalse,Puntilla San Juan,Rio Grande En Puntilla San Juan,El Tome,Caren,Cerro Vega Negra,Cogoti Embalse,Las Ramadas,Rio Cogoti Entrada Embalse Cogoti,Rio Cogoti En Fraguita,Rio Illapel En Las Burras,Santa Virginia,Rio Illapel En Huintil,Illapel Dga,La Tranquilla,Caimanes,El Soldado,Los Condores,Alicahue,Rio Putaendo En Resguardo Los Patos,Canal Colorado En Bocatoma,Portillo,Rio Aconcagua En Chacabuquito,Vilcuya,Rio Juncal En Juncal,Quillota,Rio Aconcagua En Rio Blanco,Las Salinas,Rungue Embalse,Rodelillo,Cerro Colorado Armada De Chile,Lliu-Lliu Embalse,Lago Peuelas,Valle Olivares,Estero Yerba Loca En Piedra Carvajal,Rio San Francisco Antes Junta Estero Yerba Loca,Estero Arrayan En La Montosa,Estero Yerba Loca Antes Junta San Francisco,Rio Mapocho En Los Almendros,Cerro Calan,Los Panguiles,Terraza Oficinas Centrales Dga,Rio Olivares Antes Junta Rio Colorado,Rio Colorado Antes Junta Rio Olivares,Rio Mapocho Rinconada De Maipu,Campus San Joaquin U.C.,Quebrada De Macul,Glaciar Echaurren,Rio Maipo En El Manzano,Laguna Negra,Pirque,El Yeso Embalse,Melipilla,Glaciar San Franciscoen Aguas Panimavida,Rio Volcan En Queltehues,Queltehues,Las Melosas,Estero De La Cadena Antes Junta Rio Cachapoal,Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal,Rio Las Leas Ante Junta Rio Cachapoal,Laguna El Yeso,Rengo,Popeta,Rio Claro En Hacienda Las Nieves,Laguna Los Cristales,Rio Tinguiririca Bajo Los Briones,Laguna De Torca,Convento Viejo,Termas Del Flaco,Curico,Potrero Grande,Constitucion,Pencahue,Fundo El Peral,Talca,Talca U.C.,Rio Claro En Rauquen,Colorado,Rio Claro En San Carlos,Armerillo,Rio Maule En Armerillo,Rio Cipreses En Dasague Laguna La Invernada,Rio Maule En Los BaÑOs,Linares,Rio Melado En La Lancha Dga,Rio Melado En El Salto,Ancoa Embalse,Lo Aguirre,Los Condores,Parral,Digua Embalse,Guayquivilo,Coihueco Embalse,Caracol,La Punilla,Diguillin,Rio Polcura En Cuatro Junta,Alto Mallines,Quilaco,Rio Huequecura Aguas Arriba De Embalse Angostura,Embalse Central Angostura,Angol (La Mona),Rio Biobio En La Culebra,El Vergel (Angol),Embalse Pangue,Collipulli,Contulmo,Embalse Ralco,Rio Lomin En Puente La Junta,Rio Bio-Bio En Llanquen,Lonquimay,Manzanar,Malalcahuello,Pueblo Nuevo (Temuco),Rio Truful En Camino Internacional,Freire Sendos,Rio Tolten En Coipue,Pucon,Llancahue,Rio Fui En Desage Lago Pirihueico,Adolfo Matthei,Rio Rahue Antes Junta Rio Negro,Rio Forrahue En Rio Negro,Llanada Grande,Puerto Montt,Puelo,Hornopiren,Rio Blanco En Chaiten,Villa Santa Lucia,Marin Balmaceda,La Junta,Puerto Puyuhuapi,Islas Huichas,Puerto Aysen,Coyhaique Alto,Coyhaique (Escuela Agricola),Rio Ibaez En Desembocadura,Lago General Carrera Fachinal,Chile Chico,Glaciar San Rafael,Rio Nef Antes Junta Estero El Revalse,Rio Baker En Angostura Chacabuco,Lago Cachet 2 En Glaciar Colonia,Rio Cochrane En Cochrane,Rio Colonia En Nacimiento,Caleta Tortel,Rio Pascua Ante Junta Rio Quetru,Lago Ohiggins En Villa Ohiggins,Glaciar Tempano,Candelario Mancilla,Glaciar Ohiggins,Lago Dickson,Cerro Guido,Rio Las Chinas En Cerro Guido,Glaciar Tindall,Torres Del Paine,Cerro Castillo,Puerto Natales,Monte Aymond,Penitente Alto,Seno Obstruccin,Villa Tehuelche,Rio Perez En Desembocadura,Rio Side En Cerro Sombrero,Cordillera Riesco,Sarita En Bahia San Felipe,Bahia San Felipe,Punta Arenas,Canal De Trasvase Estero Llau-Llau,Magdalena Giglio 2,Cerro Mirador,Porvenir,Onaisin En Maria Cristina,San Sebastian,Lago Parrillar,Russfin,Rio Condor,Pampa Huanaco,Lago Deseado,Bahia Yendegaia,Puerto Navarino,Rio Robalo En Puerto Williams,Puerto Toro,Arturo Prat Base Antartica,Bernardo O'Higgins Base Antartica,Chacalluta Arica Ap.,Diego Aracena Iquique Ap.,Cerro Moreno Antofagasta Ap.,Desierto De Atacama Caldera Ap.,La Florida La Serena Ad.,Rodelillo Ad.,Quinta Normal Santiago,General Freire Curico Ad.,Bernardo O'Higgins Chillan Ad.,Carriel Sur Concepcion.,Maquehue Temuco Ad.,Pichoy Valdivia Ad.,Canal Bajo Osorno Ad.,El Tepual Puerto Montt Ap.,Puerto Aysen Ad.,Teniente Vidal Coyhaique Ad.,Balmaceda Ad.,Chile Chico Ad.,Lord Cochrane Ad.,Punta Arenas,Guardia Marina Zanartu Pto Williams Ad.,Eduardo Frei Montalva Antartica,El Loa Calama Ad.,Mataveri Isla De Pascua Ap.,Pudahuel Santiago,Eulogio Sanchez Tobalaba Ad.,Juan Fernandez Estacion Meteorologica,Santo Domingo Ad.,Maria Dolores Los Angeles Ad.,Chaiten Ad.,Futaleufu Ad.,Alto Palenaad.,Teniente Gallardo Puerto Natales Ad.,Fuentes Martinez Porvenir Ad.
altura,4080,3908,4400,4185,3560,3545,4420,4585,3550,290,20,55,4280,4240,110,365,310,4270,350,1870,200,3848,3700,4020,4013,2510,1100,3800,1115,4300,3700,3730,3320,802,3970,3318,3800,3010,3000,4040,150,4100,3070,3310,3031,3200,3260,2524,4370,1250,2300,1616,2450,2500,1032,0,3251,50,2460,3430,1560,0,2250,385,940,1110,1310,1550,50,430,4000,560,600,1100,1150,0,1450,1400,2000,300,15,890,2165,2150,820,820,370,460,100,1560,3160,1100,920,485,350,340,100,320,430,420,420,740,3600,740,1380,670,1065,1079,980,775,290,1000,450,3290,190,750,1218,1391,3000,950,1100,1800,130,1420,20,700,110,510,260,360,2787,3250,1550,880,1350,966,848,190,560,1500,1500,440,570,950,3850,850,2780,659,2475,168,2220,1365,1450,1527,440,1127,1296,2140,310,480,720,2343,560,28,239,2650,195,445,10,55,110,110,130,64,420,550,492,470,1300,980,157,650,730,421,2000,2172,175,390,1200,314,610,840,670,1319,1770,231,330,324,113,338,75,512,240,41,742,755,767,931,790,950,119,520,100,200,230,70,600,55,40,52,248,90,5,25,10,327,10,45,10,6,10,730,343,220,18,215,8,281,160,427,140,146,10,20,300,20,300,5,200,230,75,345,25,130,45,160,290,4,190,20,10,456,15,10,5,80,432,580,35,30,20,320,225,10,150,170,10,10,80,10,5,10,63,52,113,204,142,330,527,225,151,12,92,21,61,85,10,310,517,306,204,38,10,1,2293,48,482,650,35,75,120,10,347,281,69,27
latitud,-17.595,-17.8428,-18.0542,-18.1769,-18.195,-18.1992,-18.2042,-18.2353,-18.3519,-18.4103,-18.4775,-18.4833,-18.4931,-18.4983,-18.5119,-18.5156,-18.5283,-18.7939,-18.8169,-18.8322,-19.1117,-19.1181,-19.2764,-19.9333,-20.0531,-20.065,-20.1308,-20.2761,-20.4842,-20.9714,-21.2233,-21.5311,-21.6553,-21.6603,-21.7253,-21.9428,-21.9706,-22.025,-22.0267,-22.0278,-22.0797,-22.2297,-22.2408,-22.2592,-22.2753,-22.2856,-22.3367,-22.3378,-22.3711,-22.3939,-22.4494,-22.8892,-22.9053,-23.1889,-23.3336,-23.5544,-23.5869,-23.5975,-23.6842,-24.3414,-25.4,-25.4033,-26.6781,-27.3772,-27.8317,-27.9783,-28.0858,-28.1572,-28.4725,-28.5761,-28.6231,-28.6672,-28.6997,-28.8731,-28.9311,-28.9456,-28.975,-28.9797,-29.1094,-29.3731,-29.9061,-29.9458,-29.9711,-29.9769,-29.9772,-29.9781,-29.9822,-29.9964,-30.0022,-30.1939,-30.2033,-30.2867,-30.3503,-30.4386,-30.5069,-30.5528,-30.6783,-30.6958,-30.7025,-30.7047,-30.8178,-30.8547,-30.9033,-31.0078,-31.0181,-31.0325,-31.1119,-31.5069,-31.5503,-31.5608,-31.645,-31.9,-31.9322,-32.0067,-32.1086,-32.3408,-32.5017,-32.8347,-32.8444,-32.8503,-32.8603,-32.8625,-32.8958,-32.9067,-33.0019,-33.0194,-33.0503,-33.0819,-33.0986,-33.145,-33.1869,-33.2214,-33.3086,-33.3256,-33.3414,-33.3703,-33.395,-33.4386,-33.4486,-33.4878,-33.49,-33.4961,-33.4975,-33.5017,-33.5722,-33.5939,-33.6658,-33.6736,-33.6767,-33.6803,-33.8053,-33.8056,-33.8164,-33.8994,-34.1842,-34.3464,-34.3628,-34.4078,-34.4217,-34.4369,-34.4922,-34.5606,-34.7186,-34.7675,-34.7694,-34.8911,-34.9811,-35.1833,-35.3242,-35.3725,-35.4006,-35.4194,-35.4358,-35.4525,-35.6381,-35.6989,-35.7011,-35.7061,-35.7381,-35.8197,-35.8381,-35.85,-35.8842,-35.9106,-35.9697,-36.0106,-36.1878,-36.2558,-36.2933,-36.6408,-36.6511,-36.6583,-36.8686,-37.1072,-37.1589,-37.685,-37.7047,-37.7131,-37.7794,-37.7964,-37.8172,-37.9183,-37.9583,-38.0186,-38.0583,-38.0661,-38.2008,-38.4536,-38.4631,-38.4703,-38.7128,-38.8444,-38.9592,-39.1,-39.2753,-39.8561,-39.8747,-40.5883,-40.63,-40.7956,-41.4242,-41.46,-41.6511,-41.9383,-42.9183,-43.4128,-43.7717,-43.9708,-44.3228,-45.1553,-45.4006,-45.4803,-45.5739,-46.2692,-46.5425,-46.5436,-46.6433,-47.1378,-47.1414,-47.1981,-47.2517,-47.3392,-47.7997,-48.1592,-48.5169,-48.8347,-48.8775,-48.9272,-50.8228,-50.8986,-51.0508,-51.1158,-51.1842,-51.26,-51.7336,-52.1644,-52.2092,-52.2094,-52.4414,-52.5492,-52.7681,-52.8425,-52.8675,-52.8697,-53.1233,-53.125,-53.1397,-53.1842,-53.2908,-53.3056,-53.3217,-53.4025,-53.7594,-53.9964,-54.0497,-54.3378,-54.8817,-54.9256,-54.9469,-55.0822,-62.4786,-63.3208,-18.3514,-20.5397,-23.4503,-27.2639,-29.9175,-33.0367,-33.445,-34.9664,-36.5872,-36.7792,-38.77,-39.6506,-40.605,-41.435,-45.3961,-45.5939,-45.9128,-46.5808,-47.2439,-53.0033,-54.9317,-62.1997,-22.4989,-27.1606,-33.3919,-33.4544,-33.6367,-33.655,-37.4028,-42.9303,-43.1889,-43.6117,-51.6672,-53.1875
longitud,-69.4831,-69.6994,-69.2017,-69.5092,-69.5589,-69.5603,-69.2683,-69.1833,-69.5519,-70.1692,-70.3208,-70.2936,-69.1494,-69.1547,-70.2842,-70.1806,-70.1642,-69.0844,-70.15,-69.7439,-70.1269,-69.2447,-68.6378,-68.8369,-68.8075,-69.2703,-69.7497,-68.8861,-69.3814,-68.6275,-68.2494,-68.3386,-68.6611,-69.5358,-68.2756,-68.5175,-68.3128,-68.6242,-68.6208,-68.0661,-70.1897,-68.0228,-68.2881,-68.1733,-68.3183,-68.2028,-68.2122,-68.6367,-68.0133,-69.6225,-68.9044,-69.3219,-68.2003,-67.9978,-69.8397,-70.3933,-67.8925,-70.3867,-68.0581,-68.4353,-69.9633,-70.4797,-69.6656,-70.3308,-70.1119,-70.0033,-69.9408,-69.8808,-71.1931,-70.8081,-70.045,-70.6625,-70.55,-70.2822,-70.4614,-70.1011,-70.1533,-70.1986,-70.4139,-71.1181,-71.2556,-70.5328,-70.0928,-70.0944,-70.5617,-70.5525,-70.9186,-70.8556,-71.2592,-70.4819,-70.0422,-70.6961,-70.77,-71.0022,-71.0997,-71.1642,-71.53,-71.0361,-70.9178,-70.9244,-70.9706,-70.7708,-70.5158,-71.0856,-70.5858,-71.0403,-70.885,-70.8125,-70.8353,-70.9644,-71.1908,-70.6706,-71.1361,-70.3214,-71.3125,-70.7528,-70.5811,-70.3533,-70.1108,-70.5094,-70.4719,-70.1675,-71.2092,-70.3036,-71.5467,-70.9081,-71.5833,-71.6169,-71.2144,-71.5553,-70.1122,-70.2736,-70.3572,-70.4561,-70.3636,-70.4508,-70.5367,-71.0256,-70.6444,-70.1367,-70.1342,-70.8167,-70.6142,-70.5144,-70.1283,-70.3792,-70.1078,-70.5869,-70.0886,-71.1997,-70.07,-70.2089,-70.2172,-70.1981,-70.8436,-70.3764,-70.3056,-70.21,-70.8667,-70.7794,-70.7028,-70.5097,-70.8267,-72.065,-71.1331,-70.3297,-71.2361,-71.0978,-72.4089,-71.8325,-71.7833,-71.6606,-71.6197,-71.7333,-71.2606,-71.0683,-71.0772,-71.1139,-70.7778,-70.7606,-71.5953,-71.0667,-71.0192,-71.2958,-70.5719,-70.5589,-71.8283,-71.5481,-70.9181,-71.7989,-71.395,-71.3278,-71.6425,-71.2422,-71.2425,-72.0058,-71.7683,-71.8172,-72.6372,-71.6989,-72.65,-71.5961,-72.4256,-73.23,-71.4344,-71.3497,-71.2989,-71.3742,-71.6992,-71.5753,-72.5558,-71.6536,-72.6083,-72.3833,-71.9503,-73.1786,-71.8897,-73.1069,-73.1783,-73.2144,-71.9386,-72.9378,-72.3117,-72.435,-72.7039,-72.3658,-72.9547,-72.4056,-72.5597,-73.5164,-72.7,-71.6044,-72.0286,-71.9908,-72.2267,-71.7089,-73.8575,-73.0869,-72.7258,-73.25,-72.5644,-73.1147,-73.5358,-73.0889,-72.5953,-74.1831,-72.7394,-73.1172,-73.1125,-72.3314,-72.5169,-73.2825,-72.9669,-72.3272,-72.4781,-69.6078,-71.6806,-72.4783,-71.4022,-71.9747,-69.2772,-71.7642,-69.9,-69.9319,-70.8772,-70.9358,-71.0561,-71.0833,-70.37,-69.2675,-68.6614,-71.2497,-69.1892,-70.0781,-68.7997,-68.8242,-68.6825,-68.3236,-67.6392,-67.0758,-59.6642,-57.8994,-70.3358,-70.1786,-70.4411,-70.7742,-71.2011,-71.5342,-70.6828,-71.2167,-72.04,-73.0622,-72.6369,-73.0808,-73.0608,-73.0978,-72.6639,-72.1086,-71.6942,-71.6928,-72.5864,-70.845,-67.6156,-58.9642,-68.9072,-109.427,-70.7944,-70.5478,-78.835,-71.6142,-72.4225,-72.7008,-71.8525,-71.8053,-72.5289,-70.3203
codigo_cuenca,10,12,10,12,12,12,10,10,13,12,13,13,10,10,13,13,13,10,14,14,15,16,10,17,10,17,17,10,17,10,20,20,21,21,20,21,21,21,21,21,22,21,21,21,21,21,21,21,21,21,21,27,25,25,27,22,25,27,25,26,29,29,32,34,34,34,34,34,38,38,38,38,38,38,38,38,38,38,38,41,43,43,43,43,43,43,43,43,44,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,48,47,49,52,54,54,54,54,54,54,54,54,55,57,55,55,54,55,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,60,60,60,60,60,60,60,60,60,71,60,60,71,71,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,81,81,81,81,83,83,83,83,83,83,83,83,83,83,88,83,83,83,83,91,91,91,94,91,94,94,101,101,103,103,103,105,104,105,106,106,110,110,110,111,111,113,113,113,115,115,115,114,115,115,115,115,115,115,117,117,120,117,117,122,122,122,122,122,122,122,126,126,124,126,124,128,124,128,128,125,125,125,125,128,128,128,125,128,128,128,128,128,129,129,129,-1,-1,10,10,20,30,41,50,57,61,81,81,83,101,104,104,113,113,113,115,115,125,129,-1,20,50,57,57,50,50,81,104,104,104,122,128
