"Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
-38.3907,-73.3993,24.4,"MW",7.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-29.1258,-69.7504,130.3,"MW",5.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-21.8288,-65.4395,303.9,"mb",5.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.7779,-73.4134,10,"MW",5.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.8566,-73.3826,35,"MW",5.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.7228,-73.3164,23.3,"MW",5.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.715,-73.4281,3.3,"MW",5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.7879,-72.6366,35,"MW",5.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-34.6889,-71.832,45.8,"mb",5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-30.3109,-71.2574,67.5,"MW",5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-19.1255,-69.3508,117.4,"mb",5.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.9933,-72.2942,26.8,"mb",5.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-33.9229,-72.2225,29.7,"mb",5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-19.6767,-69.1801,105.6,"mb",5.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.9611,-72.2015,24.7,"MW",5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-35.0438,-72.5064,25.2,"mb",5.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-19.9496,-70.4561,31,"MW",5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.6533,-73.4755,23,"MW",5.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-27.629,-69.7295,99,"MW",5.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-16.8465,-73.728,26,"mb",5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.5835,-70.2396,70.1,"MW",5.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-36.4604,-73.1552,12.8,"MW",6.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-36.3146,-73.2783,25,"mb",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-36.4441,-72.9881,25,"mb",5.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-36.6204,-73.2866,27,"mb",5.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-37.2361,-73.4875,16.5,"MW",6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-37.0037,-73.1547,10,"MW",6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-36.5929,-73.4083,28,"MW",5.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-36.7075,-73.3822,23.5,"MW",5.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-36.5861,-73.4624,27,"MW",5.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-35.4868,-73.1011,17,"MW",6.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.5754,-73.0853,17,"mb",5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.4229,-73.1786,10,"MW",5.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.5858,-71.893,35,"MW",5.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-20.0024,-69.1484,105.4,"MW",5.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22.039,-68.549,109.1,"ML",5.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.9905,-72.1176,30.6,"MW",5.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-34.0237,-72.171,17,"MW",5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-32.348,-69.388,50.6,"MW",5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-27.8999,-66.6602,167.1,"mb",5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-45.7431,-72.3969,10,"MW",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-27.1293,-64.698,13.5,"MW",5.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-36.0844,-73.3072,35,"MW",5.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-37.2761,-73.4247,23,"MW",5.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-23.652,-68.1028,116,"mb",5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.4653,-69.1521,104.7,"MW",5.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.2595,-73.4391,30.6,"MW",5.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-20.239,-69.1571,100,"MW",5.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18.2064,-69.5006,114.5,"MW",6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.5696,-69.1622,112.9,"MW",5.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-32.574,-71.5928,33.6,"MW",5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-32.5155,-71.6101,25,"mb",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-32.5492,-71.6214,44.4,"mb",5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-32.6165,-71.8001,23.1,"MW",5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-22.04,-68.519,107.8,"MW",5.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.821,-70.2058,50.2,"MW",5.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.9419,-71.7512,49.2,"MW",5.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-33.816,-72.017,17.1,"MW",5.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-33.832,-72.04,12,"mb",5.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-19.6717,-69.2191,102,"MW",5.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.5943,-76.6524,17.2,"MW",5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-36.1172,-73.4863,25.5,"MW",5.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-23.89,-66.8522,195,"mb",5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-23.8822,-66.7859,210.5,"MW",5.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.8,-72.0499,28.5,"MW",5.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-33.4411,-72.3765,25.7,"MW",5.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-33.9417,-72.3576,15.3,"MW",5.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
