"Magnitud","Profundidad","Region","Aumento"
7.1,24.4,9,16
5.3,130.3,3,17
5.1,303.9,2,19
5.4,10,7,19
5.1,35,7,19
5.9,23.3,7,2
5,3.3,7,2
5.1,35,7,2
5,45.8,6,-4
5,67.5,4,-4
5.3,117.4,1,-5
5.3,26.8,13,4
5,29.7,13,4
5.2,105.6,1,14
5,24.7,13,18
5.1,25.2,7,26
5,31,1,26
5.7,23,8,48
5.4,99,3,12
5,26,15,12
5.2,70.1,3,14
6.8,12.8,16,3
5,25,16,3
5.3,25,16,3
5.3,27,16,3
6,16.5,8,3
6,10,8,-6
5.9,28,16,-14
5.9,23.5,8,-14
5.6,27,16,-14
6.6,17,7,-4
5,17,7,-4
5.2,10,7,-4
5.2,35,7,-4
5.2,105.4,1,-4
5.4,109.1,2,2
5.3,30.6,13,15
5.2,17,13,25
5,50.6,5,21
5,167.1,3,21
5,10,11,22
5.6,13.5,3,22
5.1,35,7,31
5.8,23,8,-13
5,116,2,-13
5.3,104.7,1,-13
5.2,30.6,8,8
5.1,100,1,-30
6.3,114.5,15,-46
5.2,112.9,3,-53
5.5,33.6,5,-12
5,25,5,-12
5.1,44.4,5,0
5.2,23.1,5,0
5.3,107.8,2,17
5.1,50.2,2,17
5.2,49.2,7,-12
5.1,17.1,13,-12
5.1,12,13,-19
5.9,102,1,21
5.3,17.2,11,-12
5.2,25.5,7,-23
5,195,2,-15
5.1,210.5,2,-13
5.4,28.5,13,-21
5.1,25.7,13,19
5.2,15.3,13,19
5.3,18,9,19
5.2,24.2,13,-14
5,23.3,13,-13
5,24.3,13,-29
5.1,223.6,2,-40
5.2,45.8,6,10
5,110.8,1,16
6.3,10,8,14
5.4,23,8,14
5,10,10,-2
5.3,43.8,7,-13
5.9,141.4,15,-16
5,80.7,2,-22
6.5,126.2,2,4
5.3,163.2,3,10
5.5,29.8,13,-10
5,17,13,-10
5,46.8,5,-10
5,146.6,1,-10
5,116.8,3,-10
5,9.9,7,12
5,109.8,15,23
5.4,118.4,1,30
6,20.5,13,33
5.5,125.2,4,24
5,43.4,1,24
5,27.4,1,27
5.4,23,8,5
5.2,29.3,7,-10
5.6,10.4,7,-10
5.4,169.2,3,-37
5.5,10,7,-6
5.4,18.5,13,7
5.4,10,10,18
5.8,18,9,24
5.2,7.3,13,-24
5.4,98.8,2,-14
5,24.8,6,-16
5.9,40.3,5,-8
5.5,18,9,-24
5.2,18,9,-29
5,104.2,1,-4
5,10,11,-4
5,10,11,-4
5.9,16.5,2,-26
5.1,10,2,-26
5.2,222.4,2,-26
5,35,11,-26
5,1.8,3,-17
5.1,208.9,2,24
5.2,35,11,27
5.2,234.8,2,35
5.1,128.2,15,29
5.1,123.9,1,29
5,15,11,28
5.8,34.5,2,-3
5,81.7,2,28
5,21.4,4,3
5.3,95,2,3
5.7,40.4,2,4
5.3,3.9,6,-25
5.2,39.9,9,-12
5.2,10,2,9
5,100,15,33
5.1,44.4,6,33
5.1,139.8,2,42
5,7.5,9,32
5,17.9,2,20
6.1,13.8,3,-44
5.4,23,11,-3
5.7,9.6,11,-3
5,12.3,11,42
5,35,11,45
5.3,16,2,20
5.3,35,11,12
5,35,9,22
5.2,50.3,5,-10
5.7,31.4,4,8
5.6,44.6,4,8
5.1,18.5,4,12
5,66.3,3,26
6.1,23.5,16,36
5,3.9,16,36
5,28.2,16,36
5.3,209.9,2,-7
5.6,28.5,8,-21
5.1,26.4,8,-12
5.4,108.1,15,3
5.2,33.2,4,-21
5.1,20.6,7,-21
5.1,42.7,2,-6
5.2,106.4,1,-7
5.1,14.6,13,6
5.1,67.7,5,33
7.1,28.2,7,32
5,95.7,2,32
5.1,35.5,13,5
5,119.2,1,5
5,35,9,2
6.7,29.7,5,-27
5.3,10,11,2
5.6,24,4,-12
6.3,108.7,15,-11
6.3,35,11,-10
5.9,22.1,2,-12
5.4,150.5,8,0
5.2,123.9,1,2
6,5.8,7,3
6.2,106.7,15,3
5,30.9,7,3
5,16.2,5,-7
5.4,200.4,2,1
5,113.7,2,-3
5.3,36.2,3,-3
5.1,30.6,9,3
5,24.9,10,5
5.5,26,15,-9
5.2,26.5,1,15
5.1,166.5,3,32
5.3,62.3,3,-4
5.2,30.9,8,-2
5.1,29.2,3,15
5.1,50,15,-2
5,108.7,2,-14
5,120.1,4,-23
5.3,107.6,1,20
5.2,113.1,2,0
5.3,133.3,15,-4
5.8,122.9,2,-18
5.6,82,5,-7
5.1,14.2,4,-17
5.1,31.4,2,7
5.5,122.4,15,-7
5.2,171.8,1,-7
5.2,10,11,-12
5.1,35,11,-12
5,97,1,-10
6,35,11,-10
6.2,61.5,3,-2
5,54.6,2,17
5.1,23.4,13,21
5.4,24.3,13,27
5.2,10.5,13,7
5.9,17.4,13,7
5.1,19,13,7
5.1,35,11,0
5,9.6,5,-14
5.1,90.6,3,-14
5.2,24.2,3,32
5.4,32.1,8,26
