"","Depth","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"69",125.6,4.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",118.1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",35,4.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"72",35,4.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"73",42.7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"74",18.6,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"75",51.1,4.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",130.4,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"77",35,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"78",150,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"79",110.1,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",26.3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"81",230,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",131.8,6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",115.6,4.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",35.7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",234,4.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",94.5,4.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"88",113.9,4.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",54.2,4.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",163.4,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",91.2,4.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",131.8,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"93",16.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"94",47.9,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",12.5,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"96",56,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"97",65,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"98",88.9,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"99",104.4,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",53,4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"101",10,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"102",94,4.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",114.8,4.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"104",97.5,4.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",32.6,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",242.8,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"108",120.1,4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",105.7,4.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",212.2,4.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",23.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"112",38.8,5.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",265,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",118.6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"116",216.1,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",38.8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",39.7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",45.5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"120",62.3,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"121",229,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",62.2,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",98.2,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",34.7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",51.1,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"126",32.4,4.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",38.8,4.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"128",83.6,5.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"129",56.1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",163.9,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",215.7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",100.4,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",100.9,4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"134",101.4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"135",116.2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"136",136.6,4.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",127.8,4.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"138",115.8,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",143.7,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",223.9,4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",54.4,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"142",162.8,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",10,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"144",241,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",45.3,4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",248.5,4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",214.8,4.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",45.8,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",0,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"150",120.8,6.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",124,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"152",111.1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",42.1,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",97,4.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",256.2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",211,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",120.4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",6.7,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"159",114.3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",86.6,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",25.1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",168.7,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",26.5,4.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"164",180.5,4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",113.1,4.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"166",4.7,4.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"167",60.9,4.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"168",238,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",40,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"170",235.4,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",24.2,4.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"172",22.1,4.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"173",56.7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"174",250.7,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",187.7,4.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",0,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"177",530.7,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",99.6,4.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",292.9,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",21.5,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",40.6,4.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"182",20.6,4.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",249.7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",244.6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",221,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",105.2,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",35,4.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"188",35,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"189",10.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"190",96.1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",53.5,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",117.4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",167.8,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",117.7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",240.9,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",26,4.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"197",195.4,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",241.6,4.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",68.1,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"200",115.5,4.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",34.3,5.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",227.5,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",37,4.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"204",99.5,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",127.1,4.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"206",167.5,4.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",73,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",100,4.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"209",271.7,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",159.4,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"211",35,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",208.4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",110.7,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",50,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"215",11.3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"216",167,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",145.9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"218",51.4,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",198.9,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",151.9,4.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"221",1.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
