"Magnitud","Profundidad","Region","Aumento"
5.3,35,4,49
5.2,19.47,4,49
5.1,27.52,4,49
5.3,11.34,4,49
5.9,12.46,4,49
5.3,16.17,4,49
5.1,17.18,4,49
5,10,4,49
5,10,4,49
5,10,4,49
5.1,21.66,4,49
5.2,10,4,49
5,12.1,4,49
5,20.48,4,49
5.1,11.61,4,49
5,10,4,49
5.2,10,4,49
5.1,35,4,49
5.8,9.29,4,49
5.1,32.68,4,49
6.4,42.32,4,49
5,10,4,49
5,10,4,49
5.5,35,4,49
5.2,47.1,4,49
6.5,27,4,49
5.7,15.97,4,49
5.1,17.98,4,49
5,29.24,4,49
6.8,23,4,49
6.7,23,4,49
5.4,35,4,49
5.5,17.62,4,49
5.1,4.75,4,49
5.2,19.8,4,49
5.2,9.25,4,49
5.5,10,4,49
5.1,10.74,15,49
5.2,38.17,4,49
5.3,7.14,5,49
5.9,10,5,49
5.9,10,5,49
5.9,10,5,49
5.7,10,4,49
5.3,35,4,49
5.3,10,4,49
5,16.38,5,49
5.5,5.69,4,49
5.2,23.23,4,49
5.1,10,4,49
5,5.69,4,46
5.5,6,5,46
5.6,6,5,46
6.2,8,5,46
5.2,30.1,4,46
5,10,4,46
6.1,6,4,46
5.4,8,4,46
5.8,28,4,46
5.7,28,4,46
6.2,18,5,46
6.2,18,5,46
5.6,10,4,46
5.6,10,4,46
5,45.46,4,25
5.1,13.06,4,25
5.1,8.62,4,25
5,35,4,25
6.1,30,4,25
6.1,30,4,25
5.4,25.57,4,25
6.6,35,4,25
5.5,26.95,4,25
5.7,28.4,4,25
5.6,28.36,4,25
6.1,58,4,20
6,58,4,20
5,10,4,20
5.2,41.04,4,25
6.3,46,4,28
5,29.03,4,28
5.4,36.9,4,15
6,219,2,15
5.9,219,2,15
5.8,14.53,8,15
5.9,38,4,15
5.1,28.54,4,15
5.5,5.89,4,15
5,29.9,4,15
5.3,92,15,15
5.9,34,4,-13
5.5,35,4,2
5.6,21,4,-10
5,19.65,4,-10
5.7,17,2,-34
5.8,17,2,-34
5.6,10.1,10,-34
5.6,10.13,10,-34
5,46.02,4,-22
5,39.92,4,-23
5,115.72,15,-36
5.8,111,2,-23
5.4,8.49,4,0
6.2,13,4,0
6.8,46,4,0
5.7,42,4,0
5.7,159.86,15,-24
5.3,101,2,-24
5.3,109.34,2,-24
6.9,12,4,-24
5.1,10,4,-24
5.1,10,4,-24
6.9,10,4,-24
5.1,10,4,-24
5.6,27,4,-5
5.8,27,4,0
5,10.13,4,-6
6.2,34,2,14
5.6,10,4,14
5.8,11,2,9
5.5,10,2,9
5.3,179.34,2,9
5,117.31,15,16
5.3,11.57,2,9
5.5,49.53,4,16
5.6,25,4,22
5.5,10,7,35
5,37.86,7,36
5.8,48.34,4,50
5,11.66,4,98
5,22.6,10,145
5.7,24.17,4,145
5,90.29,1,117
5,36.87,3,117
5,49.06,15,108
5,26.27,4,-16
5,25.85,4,-16
6.3,29,4,-91
5,28.79,4,-91
5.1,33.84,4,-91
5,104.56,15,-100
5.4,10.37,15,-114
5.2,30.21,4,-124
5,10,15,-124
5.9,10.15,4,-123
5.2,84.32,2,-87
5.2,33.44,15,-87
5,45.73,15,-62
5,94.43,15,-26
5.1,36.83,4,-40
5.3,25.41,4,-28
5.3,24.36,4,-60
5.3,29.74,4,-55
5.3,220.9,1,-42
5.1,110.52,13,-42
5.3,59.32,3,-40
5.2,42.04,4,-50
5,17.46,4,-17
5.1,173.47,2,-17
5.4,24.68,4,-11
5.2,148.4,2,-24
5.1,156.55,3,-22
5.1,25.77,4,-24
5.3,9.52,2,-24
5,174.56,2,-28
5.1,37.33,15,-21
5.8,28,4,-21
5.1,97.17,1,-21
5.5,28.31,4,-21
5.4,29.5,4,-21
5.7,186,2,-7
5.1,26.01,4,-7
5.5,118.96,2,-9
5,45.67,4,-1
5.1,11.13,1,5
5.1,588.41,1,27
5.2,23.97,4,20
5,35,4,20
5.8,8.01,4,22
5,27.54,2,33
6.1,72,3,35
5.9,10,11,27
5.4,121,2,27
6.2,270,2,33
5,29.95,4,22
5,84.92,4,21
5,100,1,12
5.5,20,15,5
5.3,103.93,2,5
5.1,18.26,1,5
5.5,19.17,7,7
5,148.46,1,7
5.3,98.83,1,6
5,121.4,2,10
5.6,157.56,4,10
5,101.34,15,8
5,127.44,2,8
5.1,104.4,2,20
5,10,3,-17
5.9,14.8,13,-6
5.2,10,13,-1
5.2,49.58,2,-17
5.1,108.63,2,-17
5.1,119.04,2,-6
5.1,113.29,1,-6
6.4,90.79,7,-1
5.9,17.3,16,-17
5.7,121.05,3,-10
5.7,109.15,3,-10
5.1,128.98,4,-10
6.4,115.79,4,6
5.3,191.41,2,19
5.2,30,4,42
5,10,4,48
5,36.23,4,69
5.1,103.32,1,74
7.6,38,10,74
5.6,14.93,11,74
5.2,5.71,10,74
5.2,43.13,1,71
5.5,9.08,10,71
5.8,172,2,93
5,93.1,4,68
5.8,72,2,58
5.2,133.55,15,58
5,35.23,4,20
5.1,10,5,25
5.2,180.58,2,-28
5.4,9.84,4,-24
6.3,222,2,-24
6.5,595.98,1,-51
5.2,108.33,1,-60
5,31.92,3,-60
5.6,10,11,-65
5.2,14.07,4,-38
5,45.34,6,-38
5.1,45.9,4,-49
5.1,177.05,2,-14
5.1,122.91,2,-17
5,85.59,7,-11
5.2,31.88,4,-18
5.1,11.92,15,-17
5.1,83.12,3,-13
5.4,37.93,4,-8
5.3,104.74,2,-8
6.2,155,2,-48
5,112.76,2,-56
5.2,120.2,3,-46
6,21,5,-51
5.6,20,5,-51
6.9,28,5,-39
5.2,18,5,-39
5.4,13.21,5,-39
5,17.76,13,-39
5.2,21.52,13,-39
5.4,107.14,1,-41
5.1,24.03,13,-41
5.9,22,13,-35
5.1,10,13,-35
5.4,23.19,13,-35
5.8,28,13,-35
5.3,20.91,13,-35
5.1,18.32,13,-35
5,10.9,1,-42
5.1,10,15,-42
5.1,47.51,15,-41
5.4,10,11,-42
5.1,13.86,15,-42
5.2,10.24,5,-43
5.6,124.45,1,-39
5,166.23,5,-19
5.1,10,11,-7
5.9,80.7,8,-11
5.1,103.45,2,-7
5.3,94.98,2,-11
5.1,10,15,-7
5.7,27,4,-13
5,113.27,9,-5
5.8,97,15,0
5.1,53.15,4,-1
5.3,107.2,2,-1
5.9,13,7,2
5.5,10,7,21
5.3,10,13,26
6.4,44.92,15,10
5.2,91.89,2,14
5.3,47.09,1,6
5,69.6,2,15
5.6,85.07,3,9
5.5,88.16,13,15
5.3,41.07,3,15
5.6,41,15,4
5,116.53,3,4
5.8,9,4,5
5.2,10,1,5
5,10,11,14
5.1,6.23,4,14
5.1,10,11,24
5.1,100.57,5,18
5.1,62.04,1,19
5.2,222.22,2,37
5.9,17,4,11
5.3,92.59,15,10
5,117.99,4,20
5,232.1,1,-13
5.2,126.96,2,-2
5.5,110.18,2,7
6.3,82.43,15,-9
5.5,165.65,4,5
5,21.64,7,-13
5,96.61,1,-4
5,110.9,1,-4
5.5,10,1,-29
5.5,46.73,2,-69
5.2,103.33,1,-63
