"Magnitud","Profundidad","Region","Aumento"
7.1,24.4,9,42
5.3,130.3,3,50
5.1,303.9,2,59
5.4,10,7,59
5.1,35,7,59
5.9,23.3,7,53
5,3.3,7,53
5.1,35,7,53
5,45.8,6,61
5,67.5,4,61
5.3,117.4,1,57
5.3,26.8,13,57
5,29.7,13,57
5.2,105.6,1,57
5,24.7,13,57
5.1,25.2,7,61
5,31,1,61
5.7,23,8,87
5.4,99,3,69
5,26,15,69
5.2,70.1,3,69
6.8,12.8,16,65
5,25,16,65
5.3,25,16,65
5.3,27,16,65
6,16.5,8,65
6,10,8,58
5.9,28,16,44
5.9,23.5,8,44
5.6,27,16,44
6.6,17,7,47
5,17,7,47
5.2,10,7,47
5.2,35,7,47
5.2,105.4,1,47
5.4,109.1,2,38
5.3,30.6,13,18
5.2,17,13,16
5,50.6,5,8
5,167.1,3,8
5,10,11,11
5.6,13.5,3,11
5.1,35,7,1
5.8,23,8,-52
5,116,2,-52
5.3,104.7,1,-52
5.2,30.6,8,-27
5.1,100,1,-52
6.3,114.5,15,-57
5.2,112.9,3,-68
5.5,33.6,5,-43
5,25,5,-43
5.1,44.4,5,-43
5.2,23.1,5,-43
5.3,107.8,2,-35
5.1,50.2,2,-34
5.2,49.2,7,-11
5.1,17.1,13,-11
5.1,12,13,-11
5.9,102,1,-19
5.3,17.2,11,-11
5.2,25.5,7,3
5,195,2,4
5.1,210.5,2,6
5.4,28.5,13,-1
5.1,25.7,13,-2
5.2,15.3,13,-2
5.3,18,9,-11
5.2,24.2,13,-25
5,23.3,13,-21
5,24.3,13,-25
5.1,223.6,2,-38
5.2,45.8,6,-28
5,110.8,1,-24
6.3,10,8,-12
5.4,23,8,-12
5,10,10,-17
5.3,43.8,7,-20
5.9,141.4,15,-22
5,80.7,2,-15
6.5,126.2,2,-13
5.3,163.2,3,-9
5.5,29.8,13,14
5,17,13,14
5,46.8,5,14
5,146.6,1,14
5,116.8,3,32
5,9.9,7,39
5,109.8,15,44
5.4,118.4,1,44
6,20.5,13,44
5.5,125.2,4,21
5,43.4,1,21
5,27.4,1,21
5.4,23,8,2
5.2,29.3,7,2
5.6,10.4,7,2
5.4,169.2,3,-10
5.5,10,7,10
5.4,18.5,13,14
5.4,10,10,18
5.8,18,9,22
5.2,7.3,13,4
5.4,98.8,2,12
5,24.8,6,7
5.9,40.3,5,8
5.5,18,9,-10
5.2,18,9,-13
5,104.2,1,-14
5,10,11,-14
5,10,11,-14
5.9,16.5,2,-13
5.1,10,2,-13
5.2,222.4,2,-13
5,35,11,-4
5,1.8,3,6
5.1,208.9,2,15
5.2,35,11,11
5.2,234.8,2,17
5.1,128.2,15,28
5.1,123.9,1,28
5,15,11,22
5.8,34.5,2,46
5,81.7,2,22
5,21.4,4,41
5.3,95,2,41
5.7,40.4,2,49
5.3,3.9,6,36
5.2,39.9,9,46
5.2,10,2,36
5,100,15,9
5.1,44.4,6,9
5.1,139.8,2,14
5,7.5,9,21
5,17.9,2,6
6.1,13.8,3,-18
5.4,23,11,-6
5.7,9.6,11,-6
5,12.3,11,17
5,35,11,27
5.3,16,2,65
5.3,35,11,61
5,35,9,61
5.2,50.3,5,53
5.7,31.4,4,43
5.6,44.6,4,43
5.1,18.5,4,42
5,66.3,3,30
6.1,23.5,16,30
5,3.9,16,30
5,28.2,16,30
5.3,209.9,2,-4
5.6,28.5,8,-33
5.1,26.4,8,-44
5.4,108.1,15,-58
5.2,33.2,4,-45
5.1,20.6,7,-45
5.1,42.7,2,-45
5.2,106.4,1,19
5.1,14.6,13,13
5.1,67.7,5,15
7.1,28.2,7,14
5,95.7,2,14
5.1,35.5,13,-8
5,119.2,1,-8
5,35,9,-9
6.7,29.7,5,-50
5.3,10,11,-64
5.6,24,4,-44
6.3,108.7,15,-30
6.3,35,11,-31
5.9,22.1,2,-24
5.4,150.5,8,-15
5.2,123.9,1,-10
6,5.8,7,-2
6.2,106.7,15,-2
5,30.9,7,-2
5,16.2,5,0
5.4,200.4,2,-1
5,113.7,2,-5
5.3,36.2,3,-5
5.1,30.6,9,5
5,24.9,10,15
5.5,26,15,16
5.2,26.5,1,27
5.1,166.5,3,34
5.3,62.3,3,19
5.2,30.9,8,8
5.1,29.2,3,9
5.1,50,15,8
5,108.7,2,12
5,120.1,4,-5
5.3,107.6,1,0
5.2,113.1,2,-13
5.3,133.3,15,1
5.8,122.9,2,-8
5.6,82,5,4
5.1,14.2,4,-19
5.1,31.4,2,-7
5.5,122.4,15,-4
5.2,171.8,1,-4
5.2,10,11,-4
5.1,35,11,-4
5,97,1,-10
6,35,11,-10
6.2,61.5,3,-3
5,54.6,2,14
5.1,23.4,13,11
5.4,24.3,13,11
5.2,10.5,13,-1
5.9,17.4,13,-1
5.1,19,13,-1
5.1,35,11,0
5,9.6,5,13
5.1,90.6,3,-2
5.2,24.2,3,46
5.4,32.1,8,34
5.8,10,7,79
5.1,59,1,33
5,253.7,2,81
5,112.6,15,121
5.2,10,4,142
5.3,89.8,1,137
5.1,30.6,4,159
5.5,35,11,159
5.1,35,2,170
6.8,46.1,3,18
5.5,44.8,13,-78
5,30.9,13,-78
5.4,26.3,13,-166
5.1,170.2,3,-161
5,121.6,2,-167
5,10,15,-167
5.3,10,15,-167
5.3,10,15,-167
5,181.6,2,-186
5,49.1,2,-183
5,108.3,2,0
5.4,15.8,7,-12
5.4,35,11,-62
5,82.5,13,-24
5.2,9.7,3,-30
5.3,9.1,3,11
5.3,132.7,1,6
5.2,2.4,3,6
5.4,111,15,4
6.3,35,11,2
5.2,17,11,-1
5.3,164.5,15,2
5.1,119.7,2,-19
5.6,206.5,2,-19
5.4,115.9,2,-22
5.2,105,5,-11
5.3,260.9,15,-2
5.7,208.2,2,-14
5.2,210.3,2,-2
5,104.1,15,-2
5,114.2,1,4
5.6,111.7,1,4
5,126.1,15,11
5.2,15.7,3,8
5,35,15,9
6,13,15,10
5.1,12.2,1,15
5,11.3,1,15
5,22.8,1,22
5.3,16.1,1,24
5,19.2,5,41
5.2,47,3,41
5.4,117.8,1,26
5.8,103,2,25
5,105.1,6,-2
5.3,121.7,2,-6
7,38.2,15,-6
5.3,13.8,8,-2
5.5,23,8,-2
5,169.1,2,-2
5,201.4,1,-2
5,240.9,1,5
5,35,9,15
5.2,132,15,-20
5.9,12.8,7,3
6.3,11.9,7,3
5.2,24.7,2,3
6.5,19.8,4,3
5.2,18,8,3
5,113.3,2,7
5.2,35.7,13,-3
5.1,13.3,5,4
5.3,10,15,4
5,12,13,16
5.2,84.6,2,11
5,17.7,13,11
5.1,109.8,4,17
5.5,65,2,14
5.7,25.6,1,39
5.2,26.8,1,35
5.4,87,1,37
5.2,35,11,37
5.7,28.3,1,37
5.2,103.3,4,56
5.6,599.3,1,37
5.7,116.7,15,32
5.2,44.7,15,37
5,35.5,1,32
5,25.6,9,7
5.2,107.3,2,7
5.8,96,2,-1
5.2,44.2,6,-1
5,23.1,4,-22
5.3,10,10,-68
5.3,17,11,-68
5.2,23,11,-68
5,23,11,-68
5.4,10,11,-68
5.2,13.1,5,-68
5.8,17,13,-68
5.2,7.8,13,-68
5.4,58.7,13,-67
5,168.8,2,-47
5.2,47.9,6,-47
6.7,9.4,1,-42
5,17.8,1,-42
5.1,19.3,1,-42
5.2,6.6,1,-42
6.4,5.3,1,-42
5,8.5,1,-42
5.1,10,1,-42
5.1,15.4,1,-42
5,26.1,1,-42
5.1,26.1,1,-39
5.8,7.5,1,-39
5.1,6.3,1,-39
5.1,95.7,2,-15
6.2,4.4,1,-1
5.2,4.6,1,-1
5.6,17.1,1,-1
5.1,18.6,1,-1
6.2,13.9,1,-1
5.3,23.1,1,-1
5.2,19.7,1,-1
5.8,9.8,1,4
5.3,23.5,1,4
5.7,18.9,1,4
5.1,22.5,1,4
5,32.8,2,4
5.7,12.7,1,4
5.1,21.9,1,4
5.3,25.2,1,4
5.1,95.1,15,4
5.7,3.7,3,13
5.2,1,3,13
5.5,111.6,1,-9
8.1,17.1,1,4
5,5.3,1,4
7,10.8,1,4
5.8,10,1,4
5.7,14.6,1,14
5.6,16.3,1,14
5.6,15.2,1,14
5.1,22,1,14
5.3,10,1,14
5.1,10,1,14
5.2,10,1,14
5.4,15.4,1,14
5,0,1,14
5.4,20.3,1,14
5.2,21.5,1,14
5.1,15.6,1,14
5.2,15.7,1,14
5.1,15.5,1,14
5.7,16.1,1,14
5.2,5.6,1,14
5,16.8,1,14
5,10,1,14
5.2,14.9,1,14
5,31.2,1,14
5.4,27.3,1,14
5.1,17.8,1,14
5.1,24.6,1,14
5.3,17,1,14
5.2,9.1,1,13
6.6,10.6,1,13
7.7,12,1,13
5.5,4,1,13
5,27.4,1,13
5.4,19.8,1,13
5.2,17.5,1,13
5.1,27.2,1,13
6.5,13,1,13
5.6,11.2,1,13
5,9.3,1,13
5.5,21.3,1,13
5,19.6,1,13
5,24.3,1,13
5.4,9.2,1,13
5.1,5.5,1,13
5.1,6.6,1,13
5.2,5.6,1,13
5,21.2,1,13
5.3,8.1,1,13
5.1,14.1,1,13
6.2,19.3,1,13
5.2,25.1,1,13
5.4,99.5,4,13
5,11.4,1,13
5,7.6,1,13
5.1,23.5,1,13
5.1,28.4,1,12
5.6,40.1,5,12
5.1,22.7,1,12
5,15.9,1,12
5.3,38.8,1,12
5,12.4,1,12
5.3,19.7,1,12
5.8,10.6,1,-9
5.4,12.1,1,-9
5.1,9.8,1,-9
5,26.6,1,-9
5.6,4.8,1,-9
5,17.2,1,-4
5.2,23.9,1,-4
5.3,15,3,-4
5.1,23.3,1,-4
6.1,10.4,1,4
5,12,13,4
5,20.7,1,4
5.4,7.6,1,6
5.3,29.5,1,6
5.3,19.6,1,9
5.1,18.4,1,9
5,21.9,1,9
5.1,19.5,1,9
5,14,1,9
5.8,14.9,1,-6
5,21.3,1,-35
5.3,9.5,1,-35
5.2,31.4,1,-45
5,31.8,1,-30
5.2,23.9,5,-24
5.1,6.6,1,-45
5.1,11.7,1,-30
5.4,23.6,1,-30
5.6,223.3,2,-37
5.3,27.1,1,-37
5.5,104.7,2,-31
5.5,10.8,1,-31
5.1,40.9,4,0
5.3,10.9,7,-19
5.1,58.8,1,-21
5.6,57.6,1,-21
5,22.4,13,-21
5.1,8.3,1,-19
5.3,57,15,-17
5,100.8,2,-14
5.8,5.4,1,-19
5.8,14.9,1,-19
5.3,37.2,1,-19
5.5,19.4,1,-13
5.8,14.2,1,-13
5.1,3.9,13,-9
5,16,15,16
5.4,91,4,21
5.6,33.1,1,21
5.2,10,15,21
5,14.8,1,44
5.1,25.6,1,32
5.6,118.7,1,33
5,11.8,4,22
5.2,0,13,9
5,197.1,2,1
5.3,44,1,0
5.6,102,1,-15
6.4,32,5,-15
5.5,62,15,-10
5,10,3,8
5.3,10,11,33
5,28.1,1,8
5,12.9,7,57
5.1,10,11,42
6.2,204.5,2,32
5.3,19.5,7,17
5.1,10,15,26
5.4,103.1,1,-17
5.2,9,1,-17
5,125.9,2,-15
5.1,22.1,13,-15
5.2,15.5,13,-6
5.1,10,11,-4
5,13.5,13,-4
5.1,60.7,15,9
5,24.3,1,-5
5.5,106.1,2,7
5.3,10,11,14
5,150,15,7
5.1,21.7,1,7
5.4,15.4,1,29
5.1,55.8,2,31
5.2,20,1,11
5,15.1,6,54
5.4,109.3,2,54
5,54,15,54
5.2,13,5,86
5.1,31.8,2,78
5,120.2,15,90
5,12,8,50
6.3,172.7,5,50
5.3,14.1,2,50
5.5,198.8,2,-3
6.7,203.6,2,-3
5.4,80.7,5,-65
5,167.7,2,-91
5.3,203.5,2,-80
5,56.5,15,-72
5,2.1,3,-72
5.3,31.1,3,-72
5.2,104.6,1,-50
5,7.8,6,-24
5.2,41.2,3,-24
5,10,11,-24
5,35,11,-3
5.1,33.3,3,9
5,18.6,15,23
6.1,9.7,7,23
5.4,10,7,23
5,18.5,7,23
5,6.7,7,23
6.4,127.1,15,22
5.1,20.6,1,23
5.7,107.8,2,-7
5.3,245.3,2,-55
5.4,20.8,4,22
5.2,115.9,1,-58
5.1,14.4,5,-37
5.2,6.8,3,-39
5.4,26,15,-36
5.3,19.7,1,-23
5.1,121.6,15,-23
5,16.2,1,-23
5.6,120,2,-23
5.2,49.4,3,-3
5,23.9,1,-10
5.1,20.5,13,-23
6.1,121.8,2,-9
6.4,17.4,16,1
5.4,10.8,16,1
5.1,123.8,2,-7
5.8,35,15,7
5.2,12.1,4,18
5.3,17.2,7,10
5.1,12.7,7,10
5.3,34.5,1,19
5,40.5,7,-12
5.2,9.8,4,19
5.2,30.3,4,1
5.5,30.4,4,-4
5.7,34.7,4,18
5,10,15,44
5.4,97.2,1,21
5,60,8,44
5.1,38.5,9,55
5.2,6.2,2,55
5,10,4,59
5,9.76,1,48
8.3,22.44,4,49
6.4,26.7,4,49
6.1,19.1,4,49
5.6,37.8,4,49
5.7,35,4,49
5.2,29.47,4,49
6.1,35,4,49
7,28.41,4,49
5.7,32.1,4,49
5.5,20.71,4,49
5.1,23.57,4,49
