Magnitud,Profundidad,Region,Aumento,Categoria
"7,1","24,4",9,1,3
"7,1","28,2",7,25,4
7,"38,2",15,21,4
"8,1","17,1",1,13,4
7,"10,8",1,13,4
"7,7",12,1,7,3
"8,3","22,44",4,7,3
7,"28,41",4,7,3
"7,6",38,10,7,3
